!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
H           H                       H2                                               1.00E+00     0.00      0.0              0
H2D+        D2O                     D3O+        H2                                   5.90E-10    -0.50      0.0              5       !  1  1  3  3
H2D+        D2O                     HD2O+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  3  3
H2D+        D2O                     H2DO+       D2                                   1.77E-09    -0.50      0.0              5       !  3  3  3  3
D3+         HDO                     D3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  1  1  4
D3+         HDO                     HD2O+       D2                                   3.54E-09    -0.50      0.0              5       !  3  2  1  4
HD2+        D2O                     D3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  1  2  4
HD2+        D2O                     HD2O+       D2                                   3.54E-09    -0.50      0.0              5       !  3  2  2  4
CH5+        H2O                     H3O+        CH4                                  3.70E-09    -0.50      0.0              5
CH4D+       H2O                     H2DO+       CH4                                  1.59E-09    -0.50      0.0              5       !  3  1  1  1
CH4D+       H2O                     H3O+        CH3D                                 2.11E-09    -0.50      0.0              5       !  4  2  1  1
CH5+        HDO                     H2DO+       CH4                                  1.59E-09    -0.50      0.0              5       !  3  1  2  1
CH5+        HDO                     H3O+        CH3D                                 2.11E-09    -0.50      0.0              5       !  4  2  2  1
CH3D2+      H2O                     HD2O+       CH4                                  5.29E-10    -0.50      0.0              5       !  3  1  1  2
CH3D2+      H2O                     H2DO+       CH3D                                 2.11E-09    -0.50      0.0              5       ! 12  2  1  2
CH3D2+      H2O                     H3O+        CH2D2                                1.06E-09    -0.50      0.0              5       !  6  3  1  2
CH4D+       HDO                     HD2O+       CH4                                  5.29E-10    -0.50      0.0              5       !  3  1  2  2
CH4D+       HDO                     H2DO+       CH3D                                 2.11E-09    -0.50      0.0              5       ! 12  2  2  2
CH4D+       HDO                     H3O+        CH2D2                                1.06E-09    -0.50      0.0              5       !  6  3  2  2
CH5+        D2O                     HD2O+       CH4                                  5.29E-10    -0.50      0.0              5       !  3  1  3  2
CH5+        D2O                     H2DO+       CH3D                                 2.11E-09    -0.50      0.0              5       ! 12  2  3  2
CH5+        D2O                     H3O+        CH2D2                                1.06E-09    -0.50      0.0              5       !  6  3  3  2
CH2D3+      H2O                     D3O+        CH4                                  1.06E-10    -0.50      0.0              5       !  1  1  1  3
CH2D3+      H2O                     HD2O+       CH3D                                 1.27E-09    -0.50      0.0              5       ! 12  2  1  3
CH2D3+      H2O                     H2DO+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  3  1  3
CH2D3+      H2O                     H3O+        CHD3                                 4.23E-10    -0.50      0.0              5       !  4  4  1  3
CH3D2+      HDO                     D3O+        CH4                                  1.06E-10    -0.50      0.0              5       !  1  1  2  3
CH3D2+      HDO                     HD2O+       CH3D                                 1.27E-09    -0.50      0.0              5       ! 12  2  2  3
CH3D2+      HDO                     H2DO+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  3  2  3
CH3D2+      HDO                     H3O+        CHD3                                 4.23E-10    -0.50      0.0              5       !  4  4  2  3
CH4D+       D2O                     D3O+        CH4                                  1.06E-10    -0.50      0.0              5       !  1  1  3  3
CH4D+       D2O                     HD2O+       CH3D                                 1.27E-09    -0.50      0.0              5       ! 12  2  3  3
CH4D+       D2O                     H2DO+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  3  3  3
CH4D+       D2O                     H3O+        CHD3                                 4.23E-10    -0.50      0.0              5       !  4  4  3  3
CHD4+       H2O                     D3O+        CH3D                                 4.23E-10    -0.50      0.0              5       !  4  1  1  4
CHD4+       H2O                     HD2O+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  2  1  4
CHD4+       H2O                     H2DO+       CHD3                                 1.27E-09    -0.50      0.0              5       ! 12  3  1  4
CHD4+       H2O                     H3O+        CD4                                  1.06E-10    -0.50      0.0              5       !  1  4  1  4
CH2D3+      HDO                     D3O+        CH3D                                 4.23E-10    -0.50      0.0              5       !  4  1  2  4
CH2D3+      HDO                     HD2O+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  2  2  4
CH2D3+      HDO                     H2DO+       CHD3                                 1.27E-09    -0.50      0.0              5       ! 12  3  2  4
CH2D3+      HDO                     H3O+        CD4                                  1.06E-10    -0.50      0.0              5       !  1  4  2  4
CH3D2+      D2O                     D3O+        CH3D                                 4.23E-10    -0.50      0.0              5       !  4  1  3  4
CH3D2+      D2O                     HD2O+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  2  3  4
CH3D2+      D2O                     H2DO+       CHD3                                 1.27E-09    -0.50      0.0              5       ! 12  3  3  4
CH3D2+      D2O                     H3O+        CD4                                  1.06E-10    -0.50      0.0              5       !  1  4  3  4
C+          H2O                     HOC+        H                                    1.80E-09    -0.50      0.0              5
C+          HDO                     DOC+        H                                    9.00E-10    -0.50      0.0              5       !  1  1  1  1
C+          HDO                     HOC+        D                                    9.00E-10    -0.50      0.0              5       !  1  2  1  1
C+          D2O                     DOC+        D                                    1.80E-09    -0.50      0.0              5       !  1  1  1  2
H+          H2O                     H2O+        H                                    6.90E-09    -0.50      0.0              5
D+          H2O                     HDO+        H                                    4.60E-09    -0.50      0.0              5       !  2  1  1  1
D+          H2O                     H2O+        D                                    2.30E-09    -0.50      0.0              5       !  1  2  1  1
H+          HDO                     HDO+        H                                    4.60E-09    -0.50      0.0              5       !  2  1  2  1
H+          HDO                     H2O+        D                                    2.30E-09    -0.50      0.0              5       !  1  2  2  1
D+          HDO                     D2O+        H                                    2.30E-09    -0.50      0.0              5       !  1  1  1  2
D+          HDO                     HDO+        D                                    4.60E-09    -0.50      0.0              5       !  2  2  1  2
H+          D2O                     D2O+        H                                    2.30E-09    -0.50      0.0              5       !  1  1  2  2
H+          D2O                     HDO+        D                                    4.60E-09    -0.50      0.0              5       !  2  2  2  2
D+          D2O                     D2O+        D                                    6.90E-09    -0.50      0.0              5       !  1  1  1  3
H2O         HCO+                    CO          H3O+                                 2.50E-09    -0.50      0.0              5
HDO         HCO+                    CO          H2DO+                                2.50E-09    -0.50      0.0              5       !  3  1  1  1
H2O         DCO+                    CO          H2DO+                                2.50E-09    -0.50      0.0              5       !  3  1  2  1
D2O         HCO+                    CO          HD2O+                                2.50E-09    -0.50      0.0              5       !  3  1  1  2
HDO         DCO+                    CO          HD2O+                                2.50E-09    -0.50      0.0              5       !  3  1  2  2
D2O         DCO+                    CO          D3O+                                 2.50E-09    -0.50      0.0              5       !  1  1  1  3
C           OH                      CO          H                                    1.00E-10     0.00      0.0              5
C           OD                      CO          D                                    1.00E-10     0.00      0.0              5       !  1  1  1  1
O           OH                      O2          H                                    3.50E-11     0.00      0.0              5
O           OD                      O2          D                                    3.50E-11     0.00      0.0              5       !  1  1  1  1
