CH3OD2+     E-                      CH2D        OH          D                       1.36E-07    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      H2CO        D2          H                       8.90E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      D2CO        H2          H                       8.90E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CHD         HDO         H                       7.48E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH2D        HDO                                 4.81E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH3         OD          D                       4.54E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CH2         HDO         D                       3.74E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CHD         H2O         D                       3.74E-08    -0.59      0.0    0.    0.  5     
CH3OD2+     E-                      CHD2        H2O                                 2.40E-08    -0.59      0.0    0.    0.  5     
CH3+        D2O                     CH3OD2+                                         1.65E-11    -1.70      0.0    0.  200.  5     
CH2DOH2+    E-                      HDCO        H2          H                       3.56E-07    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      H2CO        HD          H                       3.56E-07    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH2D        OH          H                       2.72E-07    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      H2CO        H2          D                       1.78E-07    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH3         OD          H                       9.08E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH3         OH          D                       9.08E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CHD         H2O         H                       7.48E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH2         HDO         H                       7.48E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH2D        H2O                                 4.81E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH2         H2O         D                       3.74E-08    -0.59      0.0    0.    0.  5     
CH2DOH2+    E-                      CH3         HDO                                 3.20E-08    -0.59      0.0    0.    0.  5     
CH2D+       H2O                     CH2DOH2+                                        1.10E-11    -1.70      0.0    0.  200.  5     
CH2DOD2+    E-                      HDCO        HD          D                       3.56E-07    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      HDCO        D2          H                       1.78E-07    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      D2CO        HD          H                       1.78E-07    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD2        OD          H                       1.36E-07    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD2        OH          D                       1.36E-07    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CH2D        OD          D                       1.36E-07    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      H2CO        D2          D                       8.90E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      D2CO        H2          D                       8.90E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD         HDO         D                       7.48E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD2        HDO                                 4.81E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CD3         OH          H                       4.54E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CD2         HDO         H                       3.74E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CHD         D2O         H                       3.74E-08    -0.59      0.0    0.    0.  5     
CH2DOD2+    E-                      CH2D        D2O                                 2.40E-08    -0.59      0.0    0.    0.  5     
CH2D+       D2O                     CH2DOD2+                                        2.20E-11    -1.70      0.0    0.  200.  5     
CHD2OH2+    E-                      HDCO        HD          H                       3.56E-07    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      HDCO        H2          D                       1.78E-07    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      H2CO        HD          D                       1.78E-07    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CHD2        OH          H                       1.36E-07    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CH2D        OD          H                       1.36E-07    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CH2D        OH          D                       1.36E-07    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      H2CO        D2          H                       8.90E-08    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      D2CO        H2          H                       8.90E-08    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CHD         HDO         H                       7.48E-08    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CH2D        HDO                                 4.81E-08    -0.59      0.0    0.    0.  5     
CHD2OH2+    E-                      CH3         OD          D                       4.54E-08    -0.59      0.0    0.    0.  5     
