H2          C3H+                    C3H3+                                           1.69E-12    -1.00      0.0   10.  300.  5 A RA
C           C2H2+                   C3H+        H                                   1.10E-09     0.00      0.0   10.41000.  5 C IN
H2          C4+                     C4H+        H                                   3.00E-10     0.00      0.0   10.41000.  5 A IN
C           C2H3+                   C3H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           CH3+                    C2H+        H2                                  1.20E-09     0.00      0.0   10.41000.  5 C IN
HC3NH+      E-                      C2H2        CN                                  7.20E-07    -0.58      0.0   10.  300.  5 C DR
N           H2C3H+                  HC3NH+      H                                   1.30E-10     0.00      0.0   10.41000.  5 C IN
OCS+        E-                      S           CO                                  2.91E-07    -0.62      0.0   10.  300.  5 A DR
O           C2                      CO          C                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           CH                      C2          H                                   6.59E-11     0.00      0.0   10.  300.  5 C NN
H2          C5+                     C5H+        H                                   6.20E-10     0.00      0.0   10.41000.  5 A IN
C           C5H+                    C6+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H2                    C3          H2                                  1.45E-10    -0.12      0.0   10.  300.  5 C NN
C           C2H2                    C3H         H                                   1.45E-10    -0.12      0.0   15.  300.  5 A NN
C2H3+       E-                      C2H2        H                                   1.45E-07    -0.84      0.0   50. 1000.  5 A DR
O           H2C3H+                  HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
H2          C6+                     C6H+        H                                   5.40E-11     0.00      0.0   10.41000.  5 A IN
N           C3                      CN          C2                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
C           C2H                     C3          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C3H                     C4          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C3H2+       E-                      C3H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          C6H+                    C6H2+       H                                   1.30E-12     0.00      0.0   10.41000.  5 A IN
C           CH2                     C2H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C4                      C3          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C5H+                    C4          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           C6H2+                   C7+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C6H2+                   C7H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
H2          C7+                     C7H+        H                                   1.90E-10     0.00      0.0   10.  300.  5 C IN
C           C7H+                    C8+         H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
H2          C8+                     C8H+        H                                   4.70E-12     0.00      0.0   10.  300.  5 C IN
H2          C8H+                    C8H2+       H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
C           C8H2+                   C9+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C8H2+                   C9H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
H2          C9+                     C9H+        H                                   4.10E-11     0.00      0.0   10.  300.  5 C IN
C           C9H+                    C10+        H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
C10+        E-                      C8          C2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C8                      C7          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C8H2+       E-                      C8          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C7                      CN          C6                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
C7H+        E-                      C7          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C6                      C5          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
