!Grain reactions+++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 2012-03-26 Mon 16:56:53
!   First completed version.
!   Some of the parameters for the H2 + OH and the deuteration and abstraction
!   reactions of H2CO and CH3OH may not be correcte and need to be tuned.
! 2011-05-27 Fri 13:19:22 DFJ
!   This is the surface network.
!   It contains five sections:
!     1. Adsorption of gas phase species.
!     2. Desorption of surface species.
!     3. Reactions on the grain surface.
!     4. Chemical desorption reactions, which is practically a subset of section 3, except the products are gas phase species.
!     5. Dissociation of surface species by cosmic ray induced photons.
!   The first two usually are not considered as surface reactions.
! Reference list:
!   HHL92: Hasegawa et al. 1992
!   ICet08: Ioppolo et al. 2008, ApJ, 686, 1474
!   ICet10: Ioppolo et al. 2010, PCCP, 12, 12065
!   CIRL10: Cuppen et al. 2010, PCCP,12, 12077
!   HH93: Hasegawa and Herbst 1993 MNRAS, 261, 83
!   GMet08: Goumans et al. 2008, MNRAS, 384, 1158 [also contains some desorption barrier data for other species]
!   RH01: Ruffle and Herbst 2001, MNRAS, 324, 1054 [interesting discussions]
!   TH82: Tielens and Hagen 1982, A&A, 114, 245
!   FCet09: Fuchs et al. 2009, A&A, 505, 629
!   ABet04: Atkinson et al. 2004, Atmos. Chem. Phys., 4, 1461
!   AR77: Allen and Robinson 1977, ApJ, 212, 396
!   KT05: Keane and Tielens 2005, ***
!   SH04: Stantcheva and Herbst 2004, ApJ, 423, 241
!   MCet09: Mokrane et al. 2009, ApJ, 705, 195
!   Woon02; n=3, QCISD*, Clust, ZPE: *4.1858/8.314
!   GWH08: Garrod et al. 2008
!----------------------------------------------------------------------
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 1. Adsorption of gaseous species.
!    74 reactions in total.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
gHCO                                mHCO                                             1.0                                    66
gDCO                                mDCO                                             1.0                                    66
gH2CO                               mH2CO                                            1.0                                    66
gHDCO                               mHDCO                                            1.0                                    66
gD2CO                               mD2CO                                            1.0                                    66
gCH3OH                              mCH3OH                                           1.0                                    66
gCH2DOH                             mCH2DOH                                          1.0                                    66
gCHD2OH                             mCHD2OH                                          1.0                                    66
gCD3OH                              mCD3OH                                           1.0                                    66
gCH3OD                              mCH3OD                                           1.0                                    66
gCH2DOD                             mCH2DOD                                          1.0                                    66
gCHD2OD                             mCHD2OD                                          1.0                                    66
gCO2                                mCO2                                             1.0                                    66
gC                                  mC                                               1.0                                    66
gCH                                 mCH                                              1.0                                    66
gCD                                 mCD                                              1.0                                    66
gCH2                                mCH2                                             1.0                                    66
gCHD                                mCHD                                             1.0                                    66
gCD2                                mCD2                                             1.0                                    66
gCH3                                mCH3                                             1.0                                    66
gCH2D                               mCH2D                                            1.0                                    66
gCHD2                               mCHD2                                            1.0                                    66
gCD3                                mCD3                                             1.0                                    66
gCH4                                mCH4                                             1.0                                    66
gCH3D                               mCH3D                                            1.0                                    66
gCH2D2                              mCH2D2                                           1.0                                    66
gCHD3                               mCHD3                                            1.0                                    66
gN                                  mN                                               1.0                                    66
gNH                                 mNH                                              1.0                                    66
gND                                 mND                                              1.0                                    66
gNH2                                mNH2                                             1.0                                    66
gNHD                                mNHD                                             1.0                                    66
gND2                                mND2                                             1.0                                    66
gNH3                                mNH3                                             1.0                                    66
gNH2D                               mNH2D                                            1.0                                    66
gNHD2                               mNHD2                                            1.0                                    66
gND3                                mND3                                             1.0                                    66
gN2                                 mN2                                              1.0                                    66
gNO                                 mNO                                              1.0                                    66
gO2H                                mO2H                                             1.0                                    66
gO2D                                mO2D                                             1.0                                    66
gH2O2                               mH2O2                                            1.0                                    66
