!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
O           HCO                     CO2         H                                    5.00E-11     0.00      0.0              5
O           DCO                     CO2         D                                    5.00E-11     0.00      0.0              5       !  1  1  1  1
C           HCO2+                   CO2         CH+                                  1.00E-09     0.00      0.0              5
C           DCO2+                   CO2         CD+                                  1.00E-09     0.00      0.0              5       !  1  1  1  1
OH          HCO+                    HCO2+       H                                    1.00E-09    -0.50      0.0              5
OD          HCO+                    DCO2+       H                                    5.00E-10    -0.50      0.0              5       !  1  1  1  1
OD          HCO+                    HCO2+       D                                    5.00E-10    -0.50      0.0              5       !  1  2  1  1
OH          DCO+                    DCO2+       H                                    5.00E-10    -0.50      0.0              5       !  1  1  2  1
OH          DCO+                    HCO2+       D                                    5.00E-10    -0.50      0.0              5       !  1  2  2  1
OD          DCO+                    DCO2+       D                                    1.00E-09    -0.50      0.0              5       !  1  1  1  2
CH3+        O                       HCO+        H2                                   4.00E-10     0.00      0.0              5
CH2D+       O                       DCO+        H2                                   1.33E-10     0.00      0.0              5       !  1  1  1  1
CH2D+       O                       HCO+        HD                                   2.67E-10     0.00      0.0              5       !  2  2  1  1
CHD2+       O                       DCO+        HD                                   2.67E-10     0.00      0.0              5       !  2  1  1  2
CHD2+       O                       HCO+        D2                                   1.33E-10     0.00      0.0              5       !  1  2  1  2
CD3+        O                       DCO+        D2                                   4.00E-10     0.00      0.0              5       !  1  1  1  3
C           H3O+                    HCO+        H2                                   1.00E-11     0.00      0.0              5
C           H2DO+                   DCO+        H2                                   3.33E-12     0.00      0.0              5       !  1  1  1  1
C           H2DO+                   HCO+        HD                                   6.67E-12     0.00      0.0              5       !  2  2  1  1
C           HD2O+                   DCO+        HD                                   6.67E-12     0.00      0.0              5       !  2  1  1  2
C           HD2O+                   HCO+        D2                                   3.33E-12     0.00      0.0              5       !  1  2  1  2
C           D3O+                    DCO+        D2                                   1.00E-11     0.00      0.0              5       !  1  1  1  3
O           C3H2+                   HCO+        C2H                                  2.00E-10     0.00      0.0              5
O           C3HD+                   DCO+        C2H                                  1.00E-10     0.00      0.0              5       !  1  1  1  1
O           C3HD+                   HCO+        C2D                                  1.00E-10     0.00      0.0              5       !  1  2  1  1
O           H2C3H+                  HCO+        C2H2                                 2.00E-10     0.00      0.0              5
O           HDC3H+                  DCO+        C2H2                                 6.67E-11     0.00      0.0              5       !  1  1  1  1
O           HDC3H+                  HCO+        C2HD                                 1.33E-10     0.00      0.0              5       !  2  2  1  1
O           H2C3D+                  DCO+        C2H2                                 6.67E-11     0.00      0.0              5       !  1  1  2  1
O           H2C3D+                  HCO+        C2HD                                 1.33E-10     0.00      0.0              5       !  2  2  2  1
H3+         H2O                     H3O+        H2                                   5.90E-09    -0.50      0.0              5
H2D+        H2O                     H2DO+       H2                                   3.54E-09    -0.50      0.0              5       !  3  1  1  1
H2D+        H2O                     H3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  2  1  1
H3+         HDO                     H2DO+       H2                                   3.54E-09    -0.50      0.0              5       !  3  1  2  1
H3+         HDO                     H3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  2  2  1
HD2+        H2O                     HD2O+       H2                                   1.77E-09    -0.50      0.0              5       !  3  1  1  2
HD2+        H2O                     H2DO+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  1  2
HD2+        H2O                     H3O+        D2                                   5.90E-10    -0.50      0.0              5       !  1  3  1  2
H2D+        HDO                     HD2O+       H2                                   1.77E-09    -0.50      0.0              5       !  3  1  2  2
H2D+        HDO                     H2DO+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  2  2
H2D+        HDO                     H3O+        D2                                   5.90E-10    -0.50      0.0              5       !  1  3  2  2
H3+         D2O                     HD2O+       H2                                   1.77E-09    -0.50      0.0              5       !  3  1  3  2
H3+         D2O                     H2DO+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  3  2
H3+         D2O                     H3O+        D2                                   5.90E-10    -0.50      0.0              5       !  1  3  3  2
D3+         H2O                     D3O+        H2                                   5.90E-10    -0.50      0.0              5       !  1  1  1  3
D3+         H2O                     HD2O+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  1  3
D3+         H2O                     H2DO+       D2                                   1.77E-09    -0.50      0.0              5       !  3  3  1  3
HD2+        HDO                     D3O+        H2                                   5.90E-10    -0.50      0.0              5       !  1  1  2  3
HD2+        HDO                     HD2O+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  2  3
HD2+        HDO                     H2DO+       D2                                   1.77E-09    -0.50      0.0              5       !  3  3  2  3
H2D+        D2O                     D3O+        H2                                   5.90E-10    -0.50      0.0              5       !  1  1  3  3
H2D+        D2O                     HD2O+       HD                                   3.54E-09    -0.50      0.0              5       !  6  2  3  3
H2D+        D2O                     H2DO+       D2                                   1.77E-09    -0.50      0.0              5       !  3  3  3  3
D3+         HDO                     D3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  1  1  4
D3+         HDO                     HD2O+       D2                                   3.54E-09    -0.50      0.0              5       !  3  2  1  4
HD2+        D2O                     D3O+        HD                                   2.36E-09    -0.50      0.0              5       !  2  1  2  4
HD2+        D2O                     HD2O+       D2                                   3.54E-09    -0.50      0.0              5       !  3  2  2  4
D3+         D2O                     D3O+        D2                                   5.90E-09    -0.50      0.0              5       !  1  1  1  5
CH5+        H2O                     H3O+        CH4                                  3.70E-09    -0.50      0.0              5
CH4D+       H2O                     H2DO+       CH4                                  1.59E-09    -0.50      0.0              5       !  3  1  1  1
CH4D+       H2O                     H3O+        CH3D                                 2.11E-09    -0.50      0.0              5       !  4  2  1  1
CH5+        HDO                     H2DO+       CH4                                  1.59E-09    -0.50      0.0              5       !  3  1  2  1
CH5+        HDO                     H3O+        CH3D                                 2.11E-09    -0.50      0.0              5       !  4  2  2  1
CH3D2+      H2O                     HD2O+       CH4                                  5.29E-10    -0.50      0.0              5       !  3  1  1  2
CH3D2+      H2O                     H2DO+       CH3D                                 2.11E-09    -0.50      0.0              5       ! 12  2  1  2
CH3D2+      H2O                     H3O+        CH2D2                                1.06E-09    -0.50      0.0              5       !  6  3  1  2
CH4D+       HDO                     HD2O+       CH4                                  5.29E-10    -0.50      0.0              5       !  3  1  2  2
CH4D+       HDO                     H2DO+       CH3D                                 2.11E-09    -0.50      0.0              5       ! 12  2  2  2
CH4D+       HDO                     H3O+        CH2D2                                1.06E-09    -0.50      0.0              5       !  6  3  2  2
CH5+        D2O                     HD2O+       CH4                                  5.29E-10    -0.50      0.0              5       !  3  1  3  2
CH5+        D2O                     H2DO+       CH3D                                 2.11E-09    -0.50      0.0              5       ! 12  2  3  2
CH5+        D2O                     H3O+        CH2D2                                1.06E-09    -0.50      0.0              5       !  6  3  3  2
CH2D3+      H2O                     D3O+        CH4                                  1.06E-10    -0.50      0.0              5       !  1  1  1  3
CH2D3+      H2O                     HD2O+       CH3D                                 1.27E-09    -0.50      0.0              5       ! 12  2  1  3
CH2D3+      H2O                     H2DO+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  3  1  3
CH2D3+      H2O                     H3O+        CHD3                                 4.23E-10    -0.50      0.0              5       !  4  4  1  3
CH3D2+      HDO                     D3O+        CH4                                  1.06E-10    -0.50      0.0              5       !  1  1  2  3
CH3D2+      HDO                     HD2O+       CH3D                                 1.27E-09    -0.50      0.0              5       ! 12  2  2  3
CH3D2+      HDO                     H2DO+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  3  2  3
CH3D2+      HDO                     H3O+        CHD3                                 4.23E-10    -0.50      0.0              5       !  4  4  2  3
CH4D+       D2O                     D3O+        CH4                                  1.06E-10    -0.50      0.0              5       !  1  1  3  3
CH4D+       D2O                     HD2O+       CH3D                                 1.27E-09    -0.50      0.0              5       ! 12  2  3  3
CH4D+       D2O                     H2DO+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  3  3  3
CH4D+       D2O                     H3O+        CHD3                                 4.23E-10    -0.50      0.0              5       !  4  4  3  3
CHD4+       H2O                     D3O+        CH3D                                 4.23E-10    -0.50      0.0              5       !  4  1  1  4
CHD4+       H2O                     HD2O+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  2  1  4
CHD4+       H2O                     H2DO+       CHD3                                 1.27E-09    -0.50      0.0              5       ! 12  3  1  4
CHD4+       H2O                     H3O+        CD4                                  1.06E-10    -0.50      0.0              5       !  1  4  1  4
CH2D3+      HDO                     D3O+        CH3D                                 4.23E-10    -0.50      0.0              5       !  4  1  2  4
CH2D3+      HDO                     HD2O+       CH2D2                                1.90E-09    -0.50      0.0              5       ! 18  2  2  4
CH2D3+      HDO                     H2DO+       CHD3                                 1.27E-09    -0.50      0.0              5       ! 12  3  2  4
CH2D3+      HDO                     H3O+        CD4                                  1.06E-10    -0.50      0.0              5       !  1  4  2  4
