Si             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   2.80000E+01   0.00E+00   0.00E+00        NaN
P              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   3.10000E+01   0.00E+00   0.00E+00        NaN
HCS            0   0   0   1   0   0   1   0   0   0   1   0   0   0   0   0   0   4.50000E+01   0.00E+00   0.00E+00        NaN
PO             0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   4.70000E+01   0.00E+00   0.00E+00        NaN
C4N            0   0   0   0   0   0   4   1   0   0   0   0   0   0   0   0   0   6.20000E+01   0.00E+00   0.00E+00        NaN
HC5N           0   0   0   1   0   0   5   1   0   0   0   0   0   0   0   0   0   7.50000E+01   0.00E+00   0.00E+00        NaN
HC7N           0   0   0   1   0   0   7   1   0   0   0   0   0   0   0   0   0   9.90000E+01   0.00E+00   0.00E+00        NaN
HOCH           0   0   0   2   0   0   1   0   1   0   0   0   0   0   0   0   0   3.00000E+01   0.00E+00   0.00E+00        NaN
H2CS           0   0   0   2   0   0   1   0   0   0   1   0   0   0   0   0   0   4.60000E+01   0.00E+00   0.00E+00        NaN
CH3CHO         0   0   0   4   0   0   2   0   1   0   0   0   0   0   0   0   0   4.40000E+01   0.00E+00   0.00E+00        NaN
SiO            0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   4.40000E+01   0.00E+00   0.00E+00        NaN
H2SiO          0   0   0   2   0   0   0   0   1   1   0   0   0   0   0   0   0   4.60000E+01   0.00E+00   0.00E+00        NaN
SiH4           0   0   0   4   0   0   0   0   0   1   0   0   0   0   0   0   0   3.20000E+01   0.00E+00   0.00E+00        NaN
PH2            0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   1   0   3.30000E+01   0.00E+00   0.00E+00        NaN
HCP            0   0   0   1   0   0   1   0   0   0   0   0   0   0   0   1   0   4.40000E+01   0.00E+00   0.00E+00        NaN
CH2PH          0   0   0   3   0   0   1   0   0   0   0   0   0   0   0   1   0   4.60000E+01   0.00E+00   0.00E+00        NaN
CCl            0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0   0   4.75000E+01   0.00E+00   0.00E+00        NaN
Cl             0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   3.55000E+01   0.00E+00   0.00E+00        NaN
ClO            0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   5.15000E+01   0.00E+00   0.00E+00        NaN
SiNC           0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   5.40000E+01   0.00E+00   0.00E+00        NaN
SiC2           0   0   0   0   0   0   2   0   0   1   0   0   0   0   0   0   0   5.20000E+01   0.00E+00   0.00E+00        NaN
CCP            0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   1   0   5.50000E+01   0.00E+00   0.00E+00        NaN
HC2P           0   0   0   1   0   0   2   0   0   0   0   0   0   0   0   1   0   5.60000E+01   0.00E+00   0.00E+00        NaN
SiC3           0   0   0   0   0   0   3   0   0   1   0   0   0   0   0   0   0   6.40000E+01   0.00E+00   0.00E+00        NaN
C3P            0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   1   0   6.70000E+01   0.00E+00   0.00E+00        NaN
SiC4           0   0   0   0   0   0   4   0   0   1   0   0   0   0   0   0   0   7.60000E+01   0.00E+00   0.00E+00        NaN
C4P            0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   1   0   7.90000E+01   0.00E+00   0.00E+00        NaN
CH3CH3         0   0   0   6   0   0   2   0   0   0   0   0   0   0   0   0   0   3.00000E+01   0.00E+00   0.00E+00        NaN
HCOOH          0   0   0   2   0   0   1   0   2   0   0   0   0   0   0   0   0   4.60000E+01   0.00E+00   0.00E+00        NaN
SiO2           0   0   0   0   0   0   0   0   2   1   0   0   0   0   0   0   0   6.00000E+01   0.00E+00   0.00E+00        NaN
NH2CN          0   0   0   2   0   0   1   2   0   0   0   0   0   0   0   0   0   4.20000E+01   0.00E+00   0.00E+00        NaN
C2S            0   0   0   0   0   0   2   0   0   0   1   0   0   0   0   0   0   5.60000E+01   0.00E+00   0.00E+00        NaN
C3S            0   0   0   0   0   0   3   0   0   0   1   0   0   0   0   0   0   6.80000E+01   0.00E+00   0.00E+00        NaN
C9H2           0   0   0   2   0   0   9   0   0   0   0   0   0   0   0   0   0   1.10000E+02   0.00E+00   0.00E+00        NaN
CH2CHCN        0   0   0   3   0   0   3   1   0   0   0   0   0   0   0   0   0   5.30000E+01   0.00E+00   0.00E+00        NaN
HC9N           0   0   0   1   0   0   9   1   0   0   0   0   0   0   0   0   0   1.23000E+02   0.00E+00   0.00E+00        NaN
SiC2H2         0   0   0   2   0   0   2   0   0   1   0   0   0   0   0   0   0   5.40000E+01   0.00E+00   0.00E+00        NaN
HeH+           1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   5.00000E+00   0.00E+00   0.00E+00        NaN
He             0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   4.00000E+00   0.00E+00   0.00E+00        NaN
H2+            1   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   2.00000E+00   0.00E+00   0.00E+00        NaN
CH+            1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   1.30000E+01   0.00E+00   0.00E+00        NaN
C+             1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   1.20000E+01   0.00E+00   0.00E+00        NaN
H+             1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1.00000E+00   0.00E+00   0.00E+00        NaN
CH2+           1   0   0   2   0   0   1   0   0   0   0   0   0   0   0   0   0   1.40000E+01   0.00E+00   0.00E+00        NaN
CH3+           1   0   0   3   0   0   1   0   0   0   0   0   0   0   0   0   0   1.50000E+01   0.00E+00   0.00E+00        NaN
CH4+           1   0   0   4   0   0   1   0   0   0   0   0   0   0   0   0   0   1.60000E+01   0.00E+00   0.00E+00        NaN
CH5+           1   0   0   5   0   0   1   0   0   0   0   0   0   0   0   0   0   1.70000E+01   0.00E+00   0.00E+00        NaN
H-            -1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1.00000E+00   0.00E+00   0.00E+00        NaN
OH-           -1   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   1.70000E+01   0.00E+00   0.00E+00        NaN
C2+            1   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   2.40000E+01   0.00E+00   0.00E+00        NaN
CN-           -1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   2.60000E+01   0.00E+00   0.00E+00        NaN
C2H2+          1   0   0   2   0   0   2   0   0   0   0   0   0   0   0   0   0   2.60000E+01   0.00E+00   0.00E+00        NaN
C2H3+          1   0   0   3   0   0   2   0   0   0   0   0   0   0   0   0   0   2.70000E+01   0.00E+00   0.00E+00        NaN
C2H4+          1   0   0   4   0   0   2   0   0   0   0   0   0   0   0   0   0   2.80000E+01   0.00E+00   0.00E+00        NaN
CO+            1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   2.80000E+01   0.00E+00   0.00E+00        NaN
NH2+           1   0   0   2   0   0   0   1   0   0   0   0   0   0   0   0   0   1.60000E+01   0.00E+00   0.00E+00        NaN
C2H5+          1   0   0   5   0   0   2   0   0   0   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
Si+            1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   2.80000E+01   0.00E+00   0.00E+00        NaN
SiH+           1   0   0   1   0   0   0   0   0   1   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
HCO+           1   0   0   1   0   0   1   0   1   0   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
CH3CH3+        1   0   0   6   0   0   2   0   0   0   0   0   0   0   0   0   0   3.00000E+01   0.00E+00   0.00E+00        NaN
NO+            1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   3.00000E+01   0.00E+00   0.00E+00        NaN
SiH2+          1   0   0   2   0   0   0   0   0   1   0   0   0   0   0   0   0   3.00000E+01   0.00E+00   0.00E+00        NaN
H3CO+          1   0   0   3   0   0   1   0   1   0   0   0   0   0   0   0   0   3.10000E+01   0.00E+00   0.00E+00        NaN
SiH3+          1   0   0   3   0   0   0   0   0   1   0   0   0   0   0   0   0   3.10000E+01   0.00E+00   0.00E+00        NaN
S+             1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   3.20000E+01   0.00E+00   0.00E+00        NaN
HS+            1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   3.30000E+01   0.00E+00   0.00E+00        NaN
H2S+           1   0   0   2   0   0   0   0   0   0   1   0   0   0   0   0   0   3.40000E+01   0.00E+00   0.00E+00        NaN
H3S+           1   0   0   3   0   0   0   0   0   0   1   0   0   0   0   0   0   3.50000E+01   0.00E+00   0.00E+00        NaN
C3+            1   0   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   3.60000E+01   0.00E+00   0.00E+00        NaN
C3H+           1   0   0   1   0   0   3   0   0   0   0   0   0   0   0   0   0   3.70000E+01   0.00E+00   0.00E+00        NaN
C3H2+          1   0   0   2   0   0   3   0   0   0   0   0   0   0   0   0   0   3.80000E+01   0.00E+00   0.00E+00        NaN
CH3CCH+        1   0   0   4   0   0   3   0   0   0   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
C3H3+          1   0   0   3   0   0   3   0   0   0   0   0   0   0   0   0   0   3.90000E+01   0.00E+00   0.00E+00        NaN
H2C3H+         1   0   0   3   0   0   3   0   0   0   0   0   0   0   0   0   0   3.90000E+01   0.00E+00   0.00E+00        NaN
SiC+           1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
CH3CN          0   0   0   3   0   0   2   1   0   0   0   0   0   0   0   0   0   4.10000E+01   0.00E+00   0.00E+00        NaN
CH2CN+         1   0   0   2   0   0   2   1   0   0   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
HCSi+          1   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   4.10000E+01   0.00E+00   0.00E+00        NaN
SiN+           1   0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0   4.20000E+01   0.00E+00   0.00E+00        NaN
SiCH3          0   0   0   3   0   0   1   0   0   1   0   0   0   0   0   0   0   4.30000E+01   0.00E+00   0.00E+00        NaN
SiCH2+         1   0   0   2   0   0   1   0   0   1   0   0   0   0   0   0   0   4.20000E+01   0.00E+00   0.00E+00        NaN
C3H7+          1   0   0   7   0   0   3   0   0   0   0   0   0   0   0   0   0   4.30000E+01   0.00E+00   0.00E+00        NaN
C3H6+          1   0   0   6   0   0   3   0   0   0   0   0   0   0   0   0   0   4.20000E+01   0.00E+00   0.00E+00        NaN
CO2+           1   0   0   0   0   0   1   0   2   0   0   0   0   0   0   0   0   4.40000E+01   0.00E+00   0.00E+00        NaN
HN2+           1   0   0   1   0   0   0   2   0   0   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
CS+            1   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   4.40000E+01   0.00E+00   0.00E+00        NaN
NO2+           1   0   0   0   0   0   0   1   2   0   0   0   0   0   0   0   0   4.60000E+01   0.00E+00   0.00E+00        NaN
SiOH+          1   0   0   1   0   0   0   0   1   1   0   0   0   0   0   0   0   4.50000E+01   0.00E+00   0.00E+00        NaN
