 139  CH          O                       CO          H                                        1.5126E-24   1.00E+00   6.60E-11       0.00       0.00       1.00   5
 140  CH          O                       CO          H                                        3.3230E-44   1.00E+00   1.02E-10       0.00     914.00     200.00   5
 141  CH          CH4                     CH3         CH2                                      5.6323E-91   1.00E+00   2.28E-11       0.70    3000.00      10.00   5
 142  CH          CH4                     C2H4        H                                        6.6494E-24   1.00E+00   1.05E-10      -1.04      36.00       2.30   5
 143  CH          OH                      HCO         H                                        2.2745-134   1.00E+00   1.44E-11       0.50    5000.00      16.60   5
 144  CH          NH3                     CH2NH       H                                        4.5466E-24   1.00E+00   1.69E-10      -0.41      19.00       2.30   5
 145  CH          C2H2                    C3H2        H                                        7.7694E-24   1.00E+00   3.39E-10       0.00       0.00       2.30   5
 146  CH          N2                      HCN         N                                        1.4018-247   1.00E+00   5.60E-13       0.88   10128.00     100.00   5
 147  CH          HCO                     CO          CH2                                      1.3723E-37   1.00E+00   2.87E-12       0.70     500.00       1.60   5
 148  CH          NO                      HCN         O                                        3.9108E-24   1.00E+00   1.20E-10      -0.13       0.00       1.30   5
 149  CH          NO                      CN          OH                                       3.2086E-24   1.00E+00   1.40E-10       0.00       0.00      29.80   5
 150  CH          NO                      HCO         N                                        3.7804E-25   1.00E+00   1.16E-11      -0.13       0.00       1.30   5
 151  CH          NO                      OCN         H                                        9.3966E-25   1.00E+00   4.10E-11       0.00       0.00      29.80   5
 152  CH          H2CO                    HCO         CH2                                      1.1796E-69   1.00E+00   9.21E-12       0.70    2000.00       6.60   5
 153  CH          HNO                     NO          CH2                                      3.9649E-25   1.00E+00   1.73E-11       0.00       0.00       1.00   5
 154  CH          O2                      CO          OH                                       5.9588E-25   1.00E+00   2.60E-11       0.00       0.00      29.80   5
 155  CH          O2                      HCO         O                                        3.5572E-91   1.00E+00   1.44E-11       0.70    3000.00      10.00   5
 156  CH          S                       HS          C                                        1.4167-112   1.00E+00   1.73E-11       0.50    4000.00      13.30   5
 157  CH          S                       CS          H                                        1.1459E-24   1.00E+00   5.00E-11       0.00       0.00       1.00   5
 158  CH          CH3OH                   CH3         H2CO                                     1.0623E-21   1.00E+00   2.49E-10      -1.93       0.00      29.80   5
 159  CH          O2H                     O2          CH2                                      1.9693-191   1.00E+00   2.94E-13       0.50    7550.00      25.10   5
 160  CH          O2H                     HCO         OH                                       6.1141E-91   1.00E+00   1.44E-11       0.50    3000.00      10.00   5
